weekly_self_study_hours,attendance_percentage,class_participation,total_score
8.0,90.2,4.8,71.6
6.5,86.0,8.6,75.5
23.1,81.6,3.7,98.6
20.5,93.7,8.2,100.0
19.4,87.7,5.8,100.0
19.4,80.3,5.4,97.9
14.9,100.0,10.0,90.5
8.7,87.3,4.5,41.3
15.5,75.8,7.2,93.3
10.3,78.2,10.0,81.3
21.8,88.8,7.0,100.0
14.0,98.7,6.6,97.8
9.2,88.3,8.0,56.7
12.8,94.1,7.1,81.2
17.9,78.4,5.8,99.9
11.1,88.1,7.4,94.6
9.2,83.7,2.4,72.9
16.7,74.9,5.1,80.6
16.7,94.9,10.0,97.0
11.5,78.1,5.8,89.4
11.7,97.9,8.2,79.7
16.6,100.0,4.3,100.0
4.9,91.0,6.0,59.0
5.1,79.5,7.9,56.9
10.0,72.0,6.4,79.9
13.5,80.0,4.4,91.5
17.2,85.4,4.9,100.0
25.3,85.3,7.6,100.0
21.0,73.6,6.7,87.3
13.9,65.4,3.9,87.4
14.9,87.1,6.9,88.3
8.0,94.8,6.2,68.8
14.9,90.4,7.2,94.7
13.0,92.5,7.8,76.4
17.3,90.4,6.4,100.0
9.2,82.3,6.9,72.1
18.6,100.0,4.6,83.7
25.7,65.4,6.7,100.0
14.2,88.1,6.0,85.1
17.8,82.1,3.7,89.5
19.8,80.0,1.9,95.4
12.2,97.8,3.5,82.5
16.6,89.5,7.2,77.5
15.1,99.6,5.6,89.9
15.7,91.3,3.1,93.3
9.6,94.4,7.5,80.0
15.2,88.4,5.7,96.4
18.5,97.3,6.4,95.0
25.2,100.0,6.9,100.0
21.7,97.8,1.2,100.0
30.1,99.7,6.6,100.0
9.6,89.8,3.2,82.4
21.1,80.3,7.5,92.2
16.3,94.9,6.0,100.0
30.3,64.4,4.1,100.0
9.3,81.7,3.8,60.4
9.1,68.2,2.6,76.5
10.8,87.0,6.3,88.7
0.1,100.0,9.0,33.8
11.3,76.4,6.7,67.3
9.7,96.9,10.0,87.6
16.1,76.0,9.5,92.1
17.4,76.8,6.7,85.4
28.1,77.2,7.5,100.0
21.7,85.5,5.8,100.0
11.0,70.7,5.4,97.6
8.7,84.9,4.2,54.1
18.4,92.8,4.6,85.8
5.8,88.0,4.8,63.1
27.8,80.3,9.5,100.0
23.3,90.6,6.3,100.0
11.7,92.7,7.5,89.6
3.0,86.6,6.5,58.6
24.5,85.5,8.1,100.0
14.2,100.0,7.2,81.5
23.7,87.9,6.6,100.0
3.8,85.8,4.7,67.2
10.8,88.7,4.5,67.8
15.0,91.7,4.4,87.4
15.3,82.9,9.9,90.2
11.8,73.2,2.7,64.9
19.4,67.1,6.5,88.6
7.5,87.5,7.6,81.3
14.0,76.5,5.4,88.5
15.8,90.0,4.9,85.6
18.6,87.8,4.1,91.5
20.0,83.3,6.5,100.0
7.1,83.1,8.3,66.4
4.3,77.5,5.9,54.3
23.9,70.1,7.7,100.0
17.3,91.6,5.5,89.6
9.8,94.2,5.6,89.2
25.9,79.2,5.7,100.0
15.8,90.1,5.7,96.3
23.3,66.9,4.6,100.0
15.5,98.2,4.7,90.5
29.4,91.3,7.9,100.0
27.3,83.0,5.4,100.0
13.3,75.8,8.7,71.4
21.8,100.0,7.1,89.8
19.5,91.0,7.2,81.8
24.6,93.6,4.9,100.0
8.2,85.1,9.9,74.1
19.8,100.0,4.9,100.0
22.4,82.9,4.4,96.4
2.7,88.0,5.1,47.0
6.7,90.2,4.2,46.4
0.7,89.0,6.8,54.4
13.1,93.6,5.3,76.0
20.0,80.1,2.2,97.8
25.5,95.1,6.7,100.0
15.5,91.8,4.9,92.8
26.4,90.4,6.3,100.0
5.3,97.0,3.7,78.9
3.1,78.2,3.8,74.0
14.6,81.0,5.5,75.3
17.7,90.2,6.1,88.4
14.8,95.8,7.9,81.0
0.5,89.4,8.9,45.8
14.4,97.7,6.4,80.3
5.9,89.5,8.3,69.6
19.7,81.0,7.8,98.2
17.6,84.0,5.5,100.0
8.4,95.8,6.2,89.5
11.4,95.8,7.2,66.9
7.6,61.6,8.4,80.3
14.6,92.6,2.8,67.3
21.7,80.6,8.4,100.0
8.1,99.4,4.8,78.7
18.5,94.1,8.1,86.2
11.3,92.8,7.5,71.9
9.4,88.3,6.6,49.3
14.3,83.4,5.0,93.4
7.8,89.2,6.4,55.0
11.1,76.4,4.3,79.6
6.6,99.9,4.2,51.9
28.8,70.1,3.9,100.0
15.2,100.0,3.5,94.0
10.1,100.0,4.9,96.2
16.5,78.7,5.9,77.5
14.2,81.9,6.0,85.2
13.5,96.6,4.9,99.2
19.3,72.7,7.2,92.8
20.3,89.4,4.9,100.0
11.3,97.7,5.0,72.3
11.0,96.7,7.0,65.7
13.1,82.8,8.9,66.0
0.0,97.2,3.9,60.0
4.4,88.1,4.5,63.6
24.6,98.7,5.5,100.0
26.5,77.8,6.3,100.0
13.3,79.0,8.2,82.1
19.0,94.1,6.1,83.4
17.2,98.3,5.3,97.2
36.6,77.7,5.2,100.0
22.8,89.4,5.0,100.0
14.1,80.7,6.2,80.2
8.3,78.0,5.5,78.5
3.8,88.3,6.5,67.7
16.4,84.5,3.7,75.5
9.7,79.7,4.8,74.0
5.0,74.5,6.5,68.5
10.5,52.5,4.4,66.9
7.4,84.7,4.2,87.8
26.8,72.8,6.4,100.0
21.2,82.5,9.3,100.0
14.9,96.7,8.4,88.1
25.4,78.1,5.4,100.0
15.5,70.6,8.4,100.0
9.0,90.3,3.4,85.5
25.7,88.9,6.6,100.0
18.8,83.2,7.7,100.0
7.7,81.4,5.3,72.8
13.7,87.0,5.6,100.0
8.9,87.4,4.0,63.5
5.3,74.2,8.9,72.7
21.5,99.4,2.8,100.0
28.4,78.6,5.8,100.0
5.2,67.6,6.2,69.7
18.9,82.7,3.6,95.4
10.4,73.6,3.6,56.8
11.6,98.6,5.9,75.2
10.9,83.9,4.5,72.6
9.0,92.6,6.7,64.6
15.3,94.6,8.4,72.6
9.2,87.1,2.4,80.7
16.9,100.0,3.0,89.4
14.6,91.1,8.7,91.1
13.3,85.4,0.9,92.8
8.6,88.3,9.3,63.2
11.0,76.1,6.1,80.9
20.3,75.4,5.2,94.3
18.5,93.7,5.5,92.6
8.2,85.4,3.9,65.8
15.7,94.4,8.0,96.1
20.3,98.4,5.2,100.0
3.3,90.4,6.3,66.1
18.8,98.8,5.9,90.7
10.4,60.2,7.7,63.3
19.0,85.9,8.0,100.0
9.7,85.1,7.6,63.5
2.4,77.1,6.6,79.1
3.6,86.1,5.8,63.9
15.3,76.4,8.8,88.2
16.8,91.0,6.8,79.1
8.7,83.1,6.6,70.6
19.5,77.4,5.3,99.3
3.4,90.9,4.4,55.1
14.5,100.0,4.7,81.3
6.5,81.6,6.6,43.0
10.4,83.7,6.1,89.0
15.3,88.2,8.9,78.5
9.0,82.4,7.5,77.6
12.3,86.8,7.1,92.0
22.0,74.0,4.5,100.0
11.0,73.6,9.0,73.2
20.8,81.3,6.2,96.5
7.1,81.6,4.5,62.1
18.7,87.9,7.3,86.1
25.1,90.6,6.9,100.0
0.0,75.7,6.8,37.8
9.4,84.1,4.8,65.3
19.0,80.5,6.3,79.8
13.6,94.1,8.2,100.0
17.6,74.9,7.5,89.2
10.8,94.3,7.0,79.8
15.6,90.9,6.0,100.0
13.9,86.3,5.6,87.0
23.2,82.3,8.7,98.9
16.8,78.2,7.9,98.6
17.4,75.7,4.7,100.0
12.1,100.0,6.7,86.5
11.6,89.1,9.0,76.3
12.0,80.6,7.7,82.8
17.8,73.9,4.2,100.0
12.1,67.1,3.3,100.0
17.0,79.1,4.8,100.0
29.5,94.1,2.5,100.0
21.1,79.6,7.1,72.2
12.7,76.7,7.6,87.8
23.4,84.8,8.4,100.0
12.1,80.1,9.8,100.0
0.7,94.0,6.1,63.1
7.9,68.0,7.0,61.8
1.9,97.1,8.5,58.9
12.5,88.3,5.9,76.3
15.1,100.0,5.0,100.0
26.7,76.0,4.1,100.0
17.3,76.1,6.6,99.4
13.5,79.3,6.5,89.0
20.8,77.4,6.4,83.8
0.0,82.6,8.4,61.9
16.6,75.8,8.5,80.1
20.4,100.0,3.8,95.8
4.6,75.5,6.6,58.1
23.0,93.0,7.6,100.0
17.4,92.8,5.1,86.0
12.1,75.1,4.0,86.8
19.4,89.4,3.6,100.0
30.9,100.0,7.1,100.0
16.3,74.3,6.4,99.9
16.7,79.0,5.4,84.2
11.8,89.6,3.9,80.9
9.1,80.8,3.1,72.0
20.8,80.6,5.3,100.0
9.0,85.2,4.3,65.3
15.5,81.6,7.6,93.7
11.7,77.2,6.3,67.8
18.4,79.1,2.0,91.3
17.3,98.2,4.7,84.9
22.3,91.5,4.5,99.3
11.4,87.0,8.9,67.3
13.1,63.1,4.0,99.9
8.1,84.5,4.6,74.1
11.9,65.9,4.7,100.0
17.6,93.8,7.0,91.4
20.3,69.7,3.6,89.6
8.5,81.2,10.0,76.3
21.1,99.7,6.0,100.0
24.5,80.9,8.2,100.0
17.9,80.6,6.0,100.0
28.1,97.7,6.0,100.0
9.6,83.5,6.9,77.4
6.3,78.5,6.8,52.3
2.5,94.0,7.6,51.9
25.5,80.4,5.2,100.0
19.6,75.5,10.0,100.0
14.6,72.6,7.3,74.7
17.0,93.8,7.0,99.1
7.1,100.0,6.3,70.6
32.1,78.9,4.7,100.0
15.9,90.2,7.6,97.6
15.8,92.5,3.3,96.7
20.1,79.0,8.9,100.0
18.4,100.0,8.5,98.9
16.6,91.6,4.9,93.2
9.5,79.8,4.7,73.6
18.3,89.0,9.0,89.7
28.2,78.6,5.8,100.0
24.4,92.7,4.3,100.0
26.2,77.9,4.6,100.0
11.4,90.2,6.9,91.1
8.1,77.5,5.2,71.1
14.1,85.0,5.3,69.3
15.4,82.3,5.4,80.9
22.7,89.6,5.7,100.0
3.2,86.8,4.4,66.2
25.7,94.9,4.4,100.0
13.9,80.0,7.2,89.4
12.0,92.4,5.6,78.3
7.9,71.9,6.9,67.3
3.4,77.7,6.4,69.2
20.8,87.1,8.6,100.0
15.5,100.0,5.4,89.9
6.0,91.7,5.3,49.8
5.9,74.6,6.5,82.7
12.6,100.0,8.4,82.1
26.7,100.0,6.0,100.0
13.2,85.6,7.9,94.7
4.5,73.1,5.3,65.7
13.3,70.8,6.6,74.0
13.1,90.4,5.6,83.8
0.0,80.5,6.7,44.5
14.6,91.4,6.5,90.0
13.4,91.3,1.8,86.9
19.9,94.1,1.9,93.6
27.9,74.4,6.1,100.0
22.9,89.2,6.2,100.0
13.1,75.2,4.4,75.9
7.3,100.0,6.4,78.6
33.0,85.3,5.7,100.0
15.4,76.3,7.4,97.4
15.1,77.8,6.9,94.8
14.8,89.0,6.3,93.2
16.4,86.7,6.3,92.2
14.0,85.6,5.3,75.2
11.0,84.3,4.1,73.4
11.2,79.6,0.8,81.0
14.8,89.5,8.6,98.8
11.2,93.5,7.8,86.1
10.0,75.6,6.1,84.2
15.7,93.5,7.8,78.1
13.2,100.0,6.6,84.4
25.5,81.7,5.3,100.0
0.0,86.4,4.5,34.5
22.6,83.7,5.9,100.0
23.7,84.7,5.8,97.7
0.5,82.0,6.8,51.8
12.6,77.7,4.4,81.9
12.4,90.0,7.4,87.5
5.1,88.4,6.2,70.5
9.6,78.0,6.1,76.2
7.2,81.4,4.1,74.6
27.3,88.2,6.6,100.0
21.5,81.2,9.7,100.0
23.9,74.2,10.0,100.0
20.1,82.8,5.0,100.0
7.1,91.7,6.2,83.2
11.3,90.3,7.0,94.8
18.4,90.2,8.3,100.0
6.4,69.1,5.7,51.6
20.0,84.5,7.9,100.0
13.3,57.2,8.2,95.1
12.4,78.5,4.4,76.5
20.0,84.6,6.0,100.0
18.1,75.7,3.1,100.0
12.5,64.0,6.6,68.5
23.1,80.8,10.0,100.0
7.4,100.0,4.1,66.7
19.3,97.0,6.0,96.8
19.2,84.3,5.2,100.0
12.8,94.0,5.9,100.0
17.3,75.5,9.4,100.0
6.2,82.5,3.1,70.2
21.5,71.9,8.7,100.0
13.7,100.0,6.9,71.1
11.3,100.0,2.8,75.4
22.3,78.9,3.4,96.1
10.1,94.6,8.9,87.0
5.1,81.0,3.4,62.9
4.1,68.5,5.4,71.4
19.2,100.0,7.9,100.0
6.0,62.4,5.1,75.6
27.3,89.8,4.7,100.0
0.4,91.7,5.4,50.5
26.9,74.4,10.0,100.0
16.5,88.5,2.7,77.2
14.3,93.9,8.4,93.7
11.2,89.9,8.5,61.4
17.8,82.3,2.7,98.9
14.7,91.2,9.2,89.5
22.7,79.3,4.0,100.0
15.8,100.0,3.0,100.0
16.1,100.0,5.9,97.3
12.5,82.9,4.6,78.4
14.6,81.4,5.4,81.8
17.2,99.6,5.7,87.4
3.0,91.5,9.1,46.6
5.6,68.4,3.3,71.2
20.2,95.3,5.3,100.0
16.2,71.3,4.5,86.1
13.7,69.9,5.3,99.6
15.1,92.9,3.6,100.0
17.4,64.5,8.2,83.7
11.2,98.2,5.9,81.0
9.6,96.0,7.5,80.7
16.4,91.7,7.8,80.7
8.2,93.2,3.8,81.6
17.9,80.8,3.9,80.8
3.1,88.7,3.5,48.3
22.2,91.4,7.1,99.5
18.3,88.2,3.9,98.8
16.8,95.6,7.4,74.4
21.9,86.5,8.4,100.0
26.7,60.0,5.1,100.0
22.1,94.4,5.5,93.4
2.1,70.4,4.6,67.0
6.0,71.4,6.4,92.3
10.6,70.8,5.7,82.2
15.2,80.8,5.8,77.4
18.6,88.3,6.2,97.9
9.9,75.0,4.3,84.0
16.3,64.5,7.3,85.2
9.7,85.6,4.6,76.2
10.7,100.0,3.4,70.9
5.2,87.8,6.4,62.5
8.5,82.2,6.6,77.6
5.5,64.4,4.4,76.0
8.2,93.4,6.0,84.5
22.4,77.3,7.6,100.0
8.4,79.1,6.7,83.0
33.4,78.4,6.7,100.0
18.5,80.7,6.0,94.7
16.3,69.5,9.8,91.8
9.0,96.7,7.3,62.0
19.9,81.7,6.4,100.0
11.0,92.9,6.0,72.6
15.9,80.6,4.6,98.1
32.9,100.0,2.9,100.0
14.3,88.0,5.7,97.8
23.0,89.2,4.6,100.0
10.1,63.8,3.1,67.8
14.8,86.9,4.8,85.0
27.4,82.0,4.1,100.0
10.6,76.3,5.0,77.6
27.7,73.8,9.2,100.0
20.0,78.6,6.0,100.0
11.1,83.8,6.9,78.9
19.4,81.4,7.9,100.0
21.8,88.7,6.5,88.1
19.4,78.6,8.0,85.6
4.0,92.1,6.6,74.8
9.9,95.3,7.6,70.7
13.3,91.1,3.4,71.3
14.5,86.2,3.9,100.0
19.3,83.8,5.6,100.0
16.2,93.9,4.8,86.9
5.7,91.7,7.8,80.2
17.7,84.4,5.8,98.3
19.3,80.6,5.0,100.0
18.9,89.0,5.4,79.8
22.6,84.4,1.6,100.0
20.8,88.2,5.2,100.0
18.2,78.9,8.3,93.4
14.5,75.0,3.6,88.4
3.4,91.5,2.0,58.0
18.0,69.9,5.8,100.0
16.5,95.8,10.0,93.5
16.9,90.6,3.5,95.4
6.1,94.1,5.3,74.6
7.4,97.7,6.0,73.7
22.4,86.4,6.6,100.0
14.7,82.6,4.4,97.2
19.8,73.6,7.4,80.1
15.2,81.7,4.4,90.1
15.2,72.5,6.4,100.0
21.6,73.2,7.5,89.3
11.4,74.1,4.5,80.6
15.7,93.0,6.2,100.0
11.8,83.6,6.2,68.5
12.0,86.6,6.8,75.6
12.8,77.6,9.0,100.0
16.6,72.1,4.8,97.5
11.6,79.2,8.0,84.5
23.8,100.0,5.3,93.9
8.7,90.1,4.2,74.1
13.7,95.7,6.2,77.1
11.9,85.8,6.2,74.8
25.1,84.2,6.4,100.0
16.4,85.6,4.8,96.1
22.2,57.4,6.1,100.0
4.6,93.4,5.5,51.4
16.9,64.0,5.0,80.3
21.2,81.8,4.9,100.0
15.6,65.4,4.4,88.4
22.5,91.4,5.6,100.0
11.4,79.3,2.3,75.3
24.9,97.8,3.5,100.0
31.1,86.7,7.1,100.0
12.5,92.7,7.9,75.1
11.9,78.9,6.8,75.5
25.2,68.0,4.9,100.0
26.1,92.7,5.9,100.0
11.3,81.2,7.5,62.2
12.1,98.9,7.2,71.6
13.0,64.2,5.4,97.3
5.6,76.0,9.1,60.5
8.6,59.9,7.2,65.2
8.0,79.4,4.8,71.7
9.6,89.3,4.7,77.6
14.8,83.7,7.5,100.0
16.6,88.9,4.6,100.0
25.9,86.2,9.1,100.0
8.0,68.7,9.8,100.0
21.9,87.9,6.9,100.0
13.5,94.0,5.8,77.3
14.7,79.6,2.5,68.3
19.7,85.9,5.6,90.1
7.1,75.0,4.8,64.4
17.7,100.0,8.8,92.2
16.2,67.9,5.7,70.5
18.4,77.4,5.3,100.0
17.0,85.8,4.7,80.5
32.2,90.5,7.2,100.0
10.5,77.8,4.3,80.0
11.3,79.8,8.1,76.3
10.6,89.2,5.3,86.8
11.1,69.4,6.8,90.2
10.5,91.0,5.8,71.2
23.3,100.0,4.0,94.4
24.9,88.9,4.8,100.0
11.0,100.0,5.9,89.9
9.2,79.4,8.3,62.0
18.3,96.1,5.1,77.0
11.1,90.0,7.0,88.8
19.4,77.9,6.9,100.0
16.4,83.3,5.3,90.8
4.4,82.0,5.1,55.3
25.8,75.6,7.4,100.0
27.6,95.7,4.3,100.0
10.7,75.4,6.4,65.7
12.3,100.0,8.2,86.3
17.0,79.6,10.0,87.1
17.3,87.5,5.3,96.0
19.6,76.0,7.0,100.0
29.1,92.6,1.0,100.0
13.8,77.4,6.7,90.2
