weekly_self_study_hours,attendance_percentage,class_participation,study_attendance_interaction,engagement_score,total_score
21.8,92.7,7.9,2020.8600000000001,50.300000000000004,100.0
10.1,78.4,4.9,791.84,41.650000000000006,79.7
12.7,95.9,6.3,1217.93,51.1,86.6
12.3,70.9,8.5,872.0700000000002,39.7,72.0
4.8,79.9,4.2,383.52000000000004,42.050000000000004,73.6
17.1,76.7,7.6,1311.5700000000002,42.15,67.3
16.8,95.7,5.3,1607.7600000000002,50.5,73.1
15.0,80.7,6.0,1210.5,43.35,100.0
13.4,91.1,6.0,1220.74,48.55,63.9
5.1,62.6,8.3,319.26,35.45,72.9
12.1,94.3,2.2,1141.03,48.25,73.4
12.6,73.3,4.5,923.5799999999999,38.9,68.1
9.4,72.5,5.4,681.5,38.95,86.1
13.9,91.9,9.5,1277.41,50.7,83.0
17.8,74.7,4.6,1329.66,39.65,77.7
28.2,97.9,6.3,2760.78,52.1,100.0
16.2,100.0,5.0,1620.0,52.5,93.6
16.8,81.5,4.9,1369.2,43.2,100.0
14.5,82.3,3.9,1193.35,43.1,100.0
1.6,97.0,5.3,155.20000000000002,51.15,43.5
14.8,75.1,5.5,1111.48,40.3,93.8
15.4,96.3,5.7,1483.02,51.0,78.9
32.2,84.4,4.9,2717.6800000000003,44.650000000000006,100.0
13.7,93.3,5.3,1278.2099999999998,49.3,84.2
17.1,77.8,9.3,1330.38,43.55,100.0
14.8,97.8,5.0,1447.44,51.4,100.0
6.8,70.7,6.4,480.76,38.550000000000004,73.2
23.0,99.6,7.8,2290.7999999999997,53.699999999999996,100.0
20.3,96.1,7.7,1950.83,51.9,95.4
20.5,79.3,8.2,1625.6499999999999,43.75,92.1
8.6,88.4,6.7,760.24,47.550000000000004,76.7
24.8,80.0,6.6,1984.0,43.3,100.0
5.2,87.7,6.9,456.04,47.300000000000004,74.1
19.1,79.9,3.6,1526.0900000000001,41.75,74.2
30.3,75.7,1.1,2293.71,38.4,100.0
8.1,88.9,4.5,720.09,46.7,74.0
11.0,87.0,5.5,957.0,46.25,72.6
15.7,84.9,6.5,1332.93,45.7,74.8
11.5,83.8,3.1,963.6999999999999,43.449999999999996,54.7
4.1,92.4,2.5,378.84,47.45,50.6
15.5,80.1,6.5,1241.55,43.3,86.8
7.6,77.9,4.6,592.04,41.25,92.6
18.3,97.3,7.5,1780.59,52.4,97.3
8.6,80.4,6.1,691.44,43.25,70.6
25.8,77.7,6.9,2004.66,42.300000000000004,100.0
9.5,79.3,3.6,753.35,41.449999999999996,81.9
12.7,78.3,10.0,994.4099999999999,44.15,78.7
20.7,100.0,6.1,2070.0,53.05,100.0
6.4,84.1,4.8,538.24,44.449999999999996,54.8
16.6,70.8,7.0,1175.28,38.9,95.0
24.1,86.1,4.2,2075.0099999999998,45.15,100.0
3.7,71.7,1.2,265.29,36.45,58.2
16.3,100.0,5.7,1630.0,52.85,87.9
16.8,100.0,7.8,1680.0,53.9,86.2
20.5,94.3,9.7,1933.1499999999999,52.0,86.1
6.3,89.3,5.6,562.5899999999999,47.449999999999996,58.9
5.8,69.8,9.7,404.84,39.75,62.3
18.7,92.8,10.0,1735.36,51.4,100.0
17.1,82.5,5.8,1410.7500000000002,44.15,83.5
16.8,74.8,6.2,1256.64,40.5,90.2
17.4,70.0,8.4,1218.0,39.2,94.4
10.2,88.5,7.7,902.6999999999999,48.1,85.4
16.6,81.2,4.8,1347.92,43.0,100.0
17.1,76.4,3.3,1306.4400000000003,39.85,100.0
10.0,90.3,5.5,903.0,47.9,92.4
28.1,100.0,5.5,2810.0,52.75,100.0
18.3,97.0,6.1,1775.1000000000001,51.55,79.6
6.7,89.3,4.4,598.31,46.85,54.8
19.6,78.5,10.0,1538.6000000000001,44.25,93.2
8.2,93.6,6.8,767.5199999999999,50.199999999999996,72.0
20.5,96.7,5.5,1982.3500000000001,51.1,95.8
23.1,93.9,2.1,2169.09,48.0,100.0
9.3,97.0,4.9,902.1,50.95,75.8
21.7,74.0,4.6,1605.8,39.3,97.4
17.9,78.1,6.8,1397.9899999999998,42.449999999999996,100.0
20.8,77.4,3.9,1609.92,40.650000000000006,100.0
28.3,87.7,3.9,2481.9100000000003,45.800000000000004,100.0
13.3,83.4,7.8,1109.22,45.6,72.2
9.7,80.5,9.9,780.8499999999999,45.2,72.9
8.8,95.0,7.2,836.0000000000001,51.1,63.2
9.3,88.5,8.7,823.0500000000001,48.6,66.2
14.5,79.3,8.1,1149.85,43.699999999999996,75.6
17.4,93.7,6.9,1630.3799999999999,50.300000000000004,100.0
16.9,84.0,4.5,1419.6,44.25,75.5
20.8,82.0,7.2,1705.6000000000001,44.6,89.5
15.1,63.3,4.8,955.8299999999999,34.05,89.2
25.2,88.0,6.0,2217.6,47.0,100.0
13.1,79.1,4.8,1036.2099999999998,41.949999999999996,92.9
34.0,100.0,0.6,3400.0,50.3,100.0
19.4,94.8,7.4,1839.12,51.1,100.0
9.0,97.2,4.7,874.8000000000001,50.95,84.7
7.5,85.6,8.2,642.0,46.9,80.1
18.4,100.0,9.4,1839.9999999999998,54.7,100.0
13.4,100.0,6.4,1340.0,53.2,75.9
20.0,84.5,3.8,1690.0,44.15,100.0
18.3,89.6,6.7,1639.68,48.15,96.5
14.5,81.9,1.8,1187.5500000000002,41.85,97.2
9.1,85.6,5.6,778.9599999999999,45.599999999999994,58.2
4.4,86.9,6.1,382.36000000000007,46.5,52.2
11.9,92.4,9.6,1099.5600000000002,51.0,70.1
21.0,79.3,6.2,1665.3,42.75,100.0
16.5,100.0,6.9,1650.0,53.45,89.0
6.3,75.7,4.1,476.91,39.9,44.1
16.2,81.8,4.7,1325.1599999999999,43.25,80.5
17.7,89.0,4.9,1575.3,46.95,92.5
8.8,93.2,4.6,820.1600000000001,48.9,65.4
16.1,82.7,6.2,1331.4700000000003,44.45,93.9
15.4,68.2,9.3,1050.28,38.75,99.8
7.0,78.7,5.2,550.9,41.95,53.2
17.5,96.8,8.7,1694.0,52.75,85.9
18.9,82.4,5.8,1557.36,44.1,100.0
22.6,80.2,5.0,1812.5200000000002,42.6,100.0
22.4,77.5,5.1,1736.0,41.3,99.4
5.4,78.4,6.4,423.36000000000007,42.400000000000006,63.0
8.4,87.1,8.2,731.64,47.65,70.2
18.6,98.2,1.0,1826.5200000000002,49.6,90.5
18.6,93.9,2.5,1746.5400000000002,48.2,83.7
18.6,89.0,2.7,1655.4,45.85,98.1
40.0,68.1,6.7,2724.0,37.4,100.0
19.0,88.0,7.3,1672.0,47.65,95.5
22.9,79.5,5.2,1820.55,42.35,100.0
21.7,98.3,7.1,2133.1099999999997,52.699999999999996,100.0
19.6,82.6,8.7,1618.96,45.65,90.2
12.8,89.1,2.9,1140.48,46.0,87.9
20.3,81.4,7.1,1652.42,44.25,100.0
9.6,82.6,6.0,792.9599999999999,44.3,83.0
13.3,80.9,4.6,1075.97,42.75,97.4
11.6,71.3,1.9,827.0799999999999,36.6,70.6
15.6,85.3,7.6,1330.6799999999998,46.449999999999996,83.7
31.2,95.1,2.1,2967.12,48.599999999999994,100.0
1.9,78.8,10.0,149.72,44.4,46.4
19.8,83.0,4.6,1643.4,43.8,100.0
3.7,100.0,5.0,370.0,52.5,63.1
11.7,90.1,9.4,1054.1699999999998,49.75,87.4
22.6,73.5,4.8,1661.1000000000001,39.15,100.0
15.4,97.2,8.9,1496.88,53.050000000000004,65.7
7.5,76.3,6.5,572.25,41.4,54.2
10.0,65.7,10.0,657.0,37.85,69.5
19.8,84.4,7.6,1671.1200000000001,46.0,100.0
9.9,94.1,4.5,931.59,49.3,79.0
16.5,99.4,6.7,1640.1000000000001,53.050000000000004,100.0
15.3,76.5,6.7,1170.45,41.6,81.5
10.4,95.9,6.3,997.3600000000001,51.1,85.8
30.0,81.2,8.1,2436.0,44.65,100.0
19.4,83.3,1.8,1616.0199999999998,42.55,100.0
0.8,91.0,4.2,72.8,47.6,53.0
16.3,70.2,7.5,1144.26,38.85,96.0
10.4,85.9,4.1,893.3600000000001,45.0,81.2
21.0,96.9,8.9,2034.9,52.900000000000006,100.0
9.5,81.8,4.9,777.1,43.35,55.0
14.2,87.3,7.1,1239.6599999999999,47.199999999999996,81.5
18.5,86.9,4.7,1607.65,45.800000000000004,72.7
21.1,88.6,8.5,1869.46,48.55,100.0
6.6,96.5,6.5,636.9,51.5,55.6
12.7,77.4,10.0,982.98,43.7,91.1
11.7,89.4,3.1,1045.98,46.25,80.0
10.4,79.9,1.6,830.96,40.75,71.4
27.4,97.6,6.7,2674.24,52.15,100.0
17.8,78.1,8.5,1390.18,43.3,89.5
6.2,83.9,3.5,520.1800000000001,43.7,74.7
21.4,88.4,6.7,1891.76,47.550000000000004,100.0
29.9,90.6,4.3,2708.9399999999996,47.449999999999996,100.0
22.2,90.5,6.7,2009.1,48.6,94.1
4.4,83.1,6.5,365.64,44.8,38.9
11.6,81.8,6.0,948.8799999999999,43.9,69.5
23.9,68.3,7.0,1632.37,37.65,100.0
10.0,85.0,4.7,850.0,44.85,60.4
18.1,74.1,3.5,1341.21,38.8,98.1
20.4,85.1,2.2,1736.0399999999997,43.65,100.0
8.5,78.2,7.0,664.7,42.6,77.7
14.6,66.7,1.1,973.82,33.9,81.2
0.0,100.0,6.6,0.0,53.3,57.8
7.8,76.7,5.5,598.26,41.1,63.8
13.2,74.0,4.4,976.8,39.2,69.4
6.3,89.9,8.8,566.37,49.35,68.7
26.4,74.0,9.4,1953.6,41.7,100.0
5.0,83.2,5.5,416.0,44.35,57.2
11.9,75.7,3.4,900.83,39.550000000000004,69.3
15.9,79.9,1.7,1270.41,40.800000000000004,83.5
25.1,83.8,5.4,2103.38,44.6,100.0
4.9,91.8,6.2,449.82,49.0,69.7
23.1,96.6,8.9,2231.46,52.75,100.0
15.1,72.9,2.0,1100.79,37.45,90.1
8.1,81.6,3.9,660.9599999999999,42.75,78.1
18.2,72.6,7.1,1321.32,39.849999999999994,100.0
16.4,82.9,5.9,1359.56,44.400000000000006,76.2
10.8,77.5,8.7,837.0,43.1,69.6
15.5,74.9,6.2,1160.95,40.550000000000004,77.6
12.3,74.2,6.9,912.6600000000001,40.550000000000004,82.4
15.8,74.8,8.9,1181.84,41.85,89.1
19.6,88.3,6.5,1730.68,47.4,100.0
26.1,100.0,3.9,2610.0,51.95,100.0
6.3,76.6,4.1,482.5799999999999,40.349999999999994,43.9
29.9,81.2,5.6,2427.88,43.4,100.0
1.3,82.9,5.5,107.77000000000001,44.2,54.5
13.9,88.5,8.0,1230.15,48.25,62.1
19.1,80.3,4.9,1533.73,42.6,100.0
17.0,92.4,5.7,1570.8000000000002,49.050000000000004,85.6
10.6,83.8,4.4,888.28,44.1,80.8
13.5,92.2,7.4,1244.7,49.800000000000004,92.4
11.5,89.6,6.3,1030.3999999999999,47.949999999999996,71.6
10.9,88.2,5.2,961.3800000000001,46.7,74.5
20.9,76.2,8.1,1592.58,42.15,87.5
17.5,92.0,7.0,1610.0,49.5,89.9
10.1,90.0,3.0,909.0,46.5,80.4
21.3,100.0,6.9,2130.0,53.45,94.9
17.2,77.6,6.7,1334.7199999999998,42.15,92.6
20.7,84.6,10.0,1751.2199999999998,47.3,95.8
19.4,93.6,6.2,1815.8399999999997,49.9,100.0
9.2,89.2,3.9,820.64,46.550000000000004,62.9
11.1,90.4,5.9,1003.44,48.150000000000006,81.1
20.2,70.6,4.7,1426.12,37.65,100.0
19.3,91.1,5.8,1758.23,48.449999999999996,100.0
14.9,97.7,6.0,1455.73,51.85,87.6
15.8,73.4,8.9,1159.7200000000003,41.150000000000006,88.1
23.9,86.1,4.9,2057.79,45.5,100.0
10.9,80.5,5.7,877.45,43.1,77.1
18.8,87.2,4.2,1639.3600000000001,45.7,80.0
13.6,97.7,3.5,1328.72,50.6,100.0
13.5,73.9,8.6,997.6500000000001,41.25,90.6
22.7,85.4,9.2,1938.5800000000002,47.300000000000004,95.9
20.8,84.2,7.3,1751.3600000000001,45.75,99.6
20.7,88.8,3.8,1838.1599999999999,46.3,100.0
24.1,80.4,4.9,1937.6400000000003,42.650000000000006,100.0
15.1,100.0,1.8,1510.0,50.9,82.2
19.8,73.4,2.8,1453.3200000000002,38.1,100.0
12.8,97.7,8.1,1250.5600000000002,52.9,79.8
17.3,85.2,6.6,1473.96,45.9,94.6
14.1,73.8,5.2,1040.58,39.5,84.1
15.7,85.1,7.4,1336.07,46.25,85.3
19.2,74.7,6.4,1434.24,40.550000000000004,87.2
9.3,70.9,6.1,659.3700000000001,38.5,80.3
29.6,100.0,6.1,2960.0,53.05,100.0
8.0,90.2,4.8,721.6,47.5,71.6
6.5,86.0,8.6,559.0,47.3,75.5
23.1,81.6,3.7,1884.96,42.65,98.6
20.5,93.7,8.2,1920.8500000000001,50.95,100.0
19.4,87.7,5.8,1701.3799999999999,46.75,100.0
19.4,80.3,5.4,1557.82,42.85,97.9
14.9,100.0,10.0,1490.0,55.0,90.5
8.7,87.3,4.5,759.5099999999999,45.9,41.3
15.5,75.8,7.2,1174.8999999999999,41.5,93.3
10.3,78.2,10.0,805.46,44.1,81.3
21.8,88.8,7.0,1935.84,47.9,100.0
14.0,98.7,6.6,1381.8,52.65,97.8
9.2,88.3,8.0,812.3599999999999,48.15,56.7
12.8,94.1,7.1,1204.48,50.599999999999994,81.2
17.9,78.4,5.8,1403.36,42.1,99.9
11.1,88.1,7.4,977.9099999999999,47.75,94.6
9.2,83.7,2.4,770.04,43.050000000000004,72.9
16.7,74.9,5.1,1250.8300000000002,40.0,80.6
16.7,94.9,10.0,1584.83,52.45,97.0
11.5,78.1,5.8,898.15,41.949999999999996,89.4
11.7,97.9,8.2,1145.43,53.050000000000004,79.7
16.6,100.0,4.3,1660.0000000000002,52.15,100.0
4.9,91.0,6.0,445.90000000000003,48.5,59.0
5.1,79.5,7.9,405.45,43.7,56.9
10.0,72.0,6.4,720.0,39.2,79.9
13.5,80.0,4.4,1080.0,42.2,91.5
17.2,85.4,4.9,1468.88,45.150000000000006,100.0
25.3,85.3,7.6,2158.09,46.449999999999996,100.0
21.0,73.6,6.7,1545.6,40.15,87.3
13.9,65.4,3.9,909.0600000000001,34.650000000000006,87.4
14.9,87.1,6.9,1297.79,47.0,88.3
8.0,94.8,6.2,758.4,50.5,68.8
14.9,90.4,7.2,1346.96,48.800000000000004,94.7
13.0,92.5,7.8,1202.5,50.15,76.4
17.3,90.4,6.4,1563.92,48.400000000000006,100.0
9.2,82.3,6.9,757.16,44.6,72.1
18.6,100.0,4.6,1860.0000000000002,52.3,83.7
25.7,65.4,6.7,1680.7800000000002,36.050000000000004,100.0
14.2,88.1,6.0,1251.0199999999998,47.05,85.1
17.8,82.1,3.7,1461.3799999999999,42.9,89.5
19.8,80.0,1.9,1584.0,40.95,95.4
12.2,97.8,3.5,1193.1599999999999,50.65,82.5
16.6,89.5,7.2,1485.7,48.35,77.5
15.1,99.6,5.6,1503.9599999999998,52.599999999999994,89.9
15.7,91.3,3.1,1433.4099999999999,47.199999999999996,93.3
9.6,94.4,7.5,906.24,50.95,80.0
15.2,88.4,5.7,1343.68,47.050000000000004,96.4
18.5,97.3,6.4,1800.05,51.85,95.0
25.2,100.0,6.9,2520.0,53.45,100.0
21.7,97.8,1.2,2122.2599999999998,49.5,100.0
30.1,99.7,6.6,3000.9700000000003,53.15,100.0
9.6,89.8,3.2,862.0799999999999,46.5,82.4
21.1,80.3,7.5,1694.3300000000002,43.9,92.2
16.3,94.9,6.0,1546.8700000000001,50.45,100.0
30.3,64.4,4.1,1951.3200000000002,34.25,100.0
9.3,81.7,3.8,759.8100000000001,42.75,60.4
9.1,68.2,2.6,620.62,35.4,76.5
10.8,87.0,6.3,939.6,46.65,88.7
0.1,100.0,9.0,10.0,54.5,33.8
11.3,76.4,6.7,863.3200000000002,41.550000000000004,67.3
9.7,96.9,10.0,939.93,53.45,87.6
16.1,76.0,9.5,1223.6000000000001,42.75,92.1
17.4,76.8,6.7,1336.32,41.75,85.4
28.1,77.2,7.5,2169.32,42.35,100.0
21.7,85.5,5.8,1855.35,45.65,100.0
11.0,70.7,5.4,777.7,38.050000000000004,97.6
8.7,84.9,4.2,738.63,44.550000000000004,54.1
18.4,92.8,4.6,1707.5199999999998,48.699999999999996,85.8
5.8,88.0,4.8,510.4,46.4,63.1
27.8,80.3,9.5,2232.34,44.9,100.0
23.3,90.6,6.3,2110.98,48.449999999999996,100.0
11.7,92.7,7.5,1084.59,50.1,89.6
3.0,86.6,6.5,259.79999999999995,46.55,58.6
24.5,85.5,8.1,2094.75,46.8,100.0
14.2,100.0,7.2,1420.0,53.6,81.5
23.7,87.9,6.6,2083.23,47.25,100.0
3.8,85.8,4.7,326.03999999999996,45.25,67.2
10.8,88.7,4.5,957.9600000000002,46.6,67.8
15.0,91.7,4.4,1375.5,48.050000000000004,87.4
15.3,82.9,9.9,1268.3700000000001,46.400000000000006,90.2
11.8,73.2,2.7,863.7600000000001,37.95,64.9
19.4,67.1,6.5,1301.7399999999998,36.8,88.6
7.5,87.5,7.6,656.25,47.55,81.3
14.0,76.5,5.4,1071.0,40.95,88.5
15.8,90.0,4.9,1422.0,47.45,85.6
18.6,87.8,4.1,1633.0800000000002,45.949999999999996,91.5
20.0,83.3,6.5,1666.0,44.9,100.0
7.1,83.1,8.3,590.0099999999999,45.699999999999996,66.4
4.3,77.5,5.9,333.25,41.7,54.3
23.9,70.1,7.7,1675.3899999999999,38.9,100.0
17.3,91.6,5.5,1584.68,48.55,89.6
9.8,94.2,5.6,923.1600000000001,49.9,89.2
25.9,79.2,5.7,2051.2799999999997,42.45,100.0
15.8,90.1,5.7,1423.58,47.9,96.3
23.3,66.9,4.6,1558.7700000000002,35.75,100.0
15.5,98.2,4.7,1522.1000000000001,51.45,90.5
29.4,91.3,7.9,2684.22,49.6,100.0
27.3,83.0,5.4,2265.9,44.2,100.0
13.3,75.8,8.7,1008.14,42.25,71.4
21.8,100.0,7.1,2180.0,53.55,89.8
19.5,91.0,7.2,1774.5,49.1,81.8
24.6,93.6,4.9,2302.56,49.25,100.0
8.2,85.1,9.9,697.8199999999999,47.5,74.1
19.8,100.0,4.9,1980.0,52.45,100.0
22.4,82.9,4.4,1856.96,43.650000000000006,96.4
2.7,88.0,5.1,237.60000000000002,46.55,47.0
6.7,90.2,4.2,604.34,47.2,46.4
0.7,89.0,6.8,62.3,47.9,54.4
13.1,93.6,5.3,1226.1599999999999,49.449999999999996,76.0
20.0,80.1,2.2,1602.0,41.15,97.8
25.5,95.1,6.7,2425.0499999999997,50.9,100.0
15.5,91.8,4.9,1422.8999999999999,48.35,92.8
26.4,90.4,6.3,2386.56,48.35,100.0
5.3,97.0,3.7,514.1,50.35,78.9
3.1,78.2,3.8,242.42000000000002,41.0,74.0
14.6,81.0,5.5,1182.6,43.25,75.3
17.7,90.2,6.1,1596.54,48.15,88.4
14.8,95.8,7.9,1417.84,51.85,81.0
0.5,89.4,8.9,44.7,49.150000000000006,45.8
14.4,97.7,6.4,1406.88,52.050000000000004,80.3
5.9,89.5,8.3,528.0500000000001,48.9,69.6
19.7,81.0,7.8,1595.7,44.4,98.2
17.6,84.0,5.5,1478.4,44.75,100.0
8.4,95.8,6.2,804.72,51.0,89.5
11.4,95.8,7.2,1092.12,51.5,66.9
7.6,61.6,8.4,468.15999999999997,35.0,80.3
14.6,92.6,2.8,1351.9599999999998,47.699999999999996,67.3
21.7,80.6,8.4,1749.0199999999998,44.5,100.0
8.1,99.4,4.8,805.14,52.1,78.7
18.5,94.1,8.1,1740.85,51.099999999999994,86.2
11.3,92.8,7.5,1048.64,50.15,71.9
9.4,88.3,6.6,830.02,47.449999999999996,49.3
14.3,83.4,5.0,1192.6200000000001,44.2,93.4
7.8,89.2,6.4,695.76,47.800000000000004,55.0
11.1,76.4,4.3,848.0400000000001,40.35,79.6
6.6,99.9,4.2,659.34,52.050000000000004,51.9
28.8,70.1,3.9,2018.8799999999999,37.0,100.0
15.2,100.0,3.5,1520.0,51.75,94.0
10.1,100.0,4.9,1010.0,52.45,96.2
16.5,78.7,5.9,1298.55,42.300000000000004,77.5
14.2,81.9,6.0,1162.98,43.95,85.2
13.5,96.6,4.9,1304.1,50.75,99.2
19.3,72.7,7.2,1403.1100000000001,39.95,92.8
20.3,89.4,4.9,1814.8200000000002,47.150000000000006,100.0
11.3,97.7,5.0,1104.01,51.35,72.3
11.0,96.7,7.0,1063.7,51.85,65.7
13.1,82.8,8.9,1084.6799999999998,45.85,66.0
0.0,97.2,3.9,0.0,50.550000000000004,60.0
4.4,88.1,4.5,387.64,46.3,63.6
24.6,98.7,5.5,2428.0200000000004,52.1,100.0
26.5,77.8,6.3,2061.7,42.05,100.0
13.3,79.0,8.2,1050.7,43.6,82.1
19.0,94.1,6.1,1787.8999999999999,50.099999999999994,83.4
17.2,98.3,5.3,1690.76,51.8,97.2
36.6,77.7,5.2,2843.82,41.45,100.0
22.8,89.4,5.0,2038.3200000000002,47.2,100.0
14.1,80.7,6.2,1137.8700000000001,43.45,80.2
8.3,78.0,5.5,647.4000000000001,41.75,78.5
3.8,88.3,6.5,335.53999999999996,47.4,67.7
16.4,84.5,3.7,1385.8,44.1,75.5
9.7,79.7,4.8,773.0899999999999,42.25,74.0
5.0,74.5,6.5,372.5,40.5,68.5
10.5,52.5,4.4,551.25,28.45,66.9
7.4,84.7,4.2,626.7800000000001,44.45,87.8
26.8,72.8,6.4,1951.04,39.6,100.0
21.2,82.5,9.3,1749.0,45.9,100.0
14.9,96.7,8.4,1440.8300000000002,52.550000000000004,88.1
25.4,78.1,5.4,1983.7399999999998,41.75,100.0
15.5,70.6,8.4,1094.3,39.5,100.0
9.0,90.3,3.4,812.6999999999999,46.85,85.5
25.7,88.9,6.6,2284.73,47.75,100.0
18.8,83.2,7.7,1564.16,45.45,100.0
7.7,81.4,5.3,626.7800000000001,43.35,72.8
13.7,87.0,5.6,1191.8999999999999,46.3,100.0
8.9,87.4,4.0,777.8600000000001,45.7,63.5
5.3,74.2,8.9,393.26,41.550000000000004,72.7
21.5,99.4,2.8,2137.1,51.1,100.0
28.4,78.6,5.8,2232.24,42.199999999999996,100.0
5.2,67.6,6.2,351.52,36.9,69.7
18.9,82.7,3.6,1563.03,43.15,95.4
10.4,73.6,3.6,765.4399999999999,38.599999999999994,56.8
11.6,98.6,5.9,1143.76,52.25,75.2
10.9,83.9,4.5,914.5100000000001,44.2,72.6
9.0,92.6,6.7,833.4,49.65,64.6
15.3,94.6,8.4,1447.3799999999999,51.5,72.6
9.2,87.1,2.4,801.3199999999999,44.75,80.7
16.9,100.0,3.0,1689.9999999999998,51.5,89.4
14.6,91.1,8.7,1330.06,49.9,91.1
13.3,85.4,0.9,1135.8200000000002,43.150000000000006,92.8
8.6,88.3,9.3,759.38,48.8,63.2
11.0,76.1,6.1,837.0999999999999,41.099999999999994,80.9
20.3,75.4,5.2,1530.6200000000001,40.300000000000004,94.3
